,weather,pivot,candidates
10,warm,"Mombasa, Kenya","Zanzibar, Tanzania; Dar es Salaam, Tanzania; Lamu, Kenya; Nairobi, Kenya; Maputo, Mozambique; Zanzibar City, Tanzania; Mtwara, Tanzania; Arusha, Tanzania; Kilifi, Kenya; Kisumu, Kenya; Tanga, Tanzania; Masai Mara, Kenya; Lamu Island, Kenya; Malindi, Kenya; Diani Beach, Kenya; Taveta, Kenya; Inhambane, Mozambique; Mombasa Island, Kenya; Watamu, Kenya; Malawi, Mozambique"
11,warm,"Makurdi, Nigeria","Agadir, Morocco; Marrakech, Morocco; Algiers, Algeria; Fes, Morocco; Accra, Ghana; Ouagadougou, Burkina Faso; Takoradi, Ghana; Kano, Nigeria; Ibadan, Nigeria; Abidjan, Cote d'Ivoire; Kumasi, Ghana; Lomé, Togo; Niamey, Niger; Dakar, Senegal; Ouahigouya, Burkina Faso; Bamako, Mali; Zinder, Niger; Bobo-Dioulasso, Burkina Faso; Banjul, Gambia; Kaduna, Nigeria"
12,warm,"Thiès, Senegal","Dakar, Senegal; Banjul, Gambia; Nouakchott, Mauritania; Abidjan, Ivory Coast; Accra, Ghana; Monrovia, Liberia; Freetown, Sierra Leone; Bamako, Mali; Conakry, Guinea; Lomé, Togo; Luanda, Angola; Porto-Novo, Benin; Yaoundé, Cameroon; Bissau, Guinea-Bissau; Libreville, Gabon; Malabo, Equatorial Guinea; Kinshasa, Democratic Republic of the Congo; Brazzaville, Republic of the Congo; N’Djamena, Chad; Niame"
13,warm,"Abéché, Chad","Ouagadougou, Burkina Faso; N'Djamena, Chad; Ouahigouya, Burkina Faso; Fada Ngourma, Burkina Faso; Atar, Mauritania; Agadez, Niger; Maradi, Niger; Kano, Nigeria; Zinder, Niger; Kankan, Guinea; Banjul, Gambia; Timbuktu, Mali; Kumasi, Ghana; Niamey, Niger; Bobo Dioulasso, Burkina Faso; Niakhar, Senegal; Kaolack, Senegal; Bolgatanga, Ghana; Birnin Kebbi, Nigeria; Nga"
14,warm,"Dar es Salaam, Tanzania","Mombasa, Kenya; Kigali, Rwanda; Maputo, Mozambique; Lilongwe, Malawi; Nairobi, Kenya; Kampala, Uganda; Gaborone, Botswana; Bujumbura, Burundi; Beira, Mozambique; Blantyre, Malawi; Lusaka, Zambia; Yaoundé, Cameroon; Mogadishu, Somalia; Addis Ababa, Ethiopia; Libreville, Gabon; Antananarivo, Madagascar; Windhoek, Namibia; Brazzaville, Congo; Lomé, Togo; Accra, Ghana"
15,warm,"Guadalajara, Mexico","San Miguel de Allende, Mexico; Querétaro, Mexico; Oaxaca, Mexico; Austin, Texas, USA; Tucson, Arizona, USA; San Antonio, Texas, USA; Granada, Spain; Barcelona, Spain; Madrid, Spain; Valparaiso, Chile; San Jose, Costa Rica; Medellin, Colombia; Rio de Janeiro, Brazil; Santiago de Compostela, Spain; Havana, Cuba; Marrakech, Morocco; Cusco, Peru; San Salvador, El Salvador; Malaga, Spain; Lima, Peru"
16,warm,"Bamako, Mali","Banjul, Gambia; Ouagadougou, Burkina Faso; Lomé, Togo; Abidjan, Cote d'Ivoire; Accra, Ghana; Dakar, Senegal; Niamey, Niger; Conakry, Guinea; Freetown, Sierra Leone; Nouakchott, Mauritania; Monrovia, Liberia; Libreville, Gabon; Bissau, Guinea-Bissau; Kinshasa, Democratic Republic of the Congo; Yaoundé, Cameroon; Douala, Cameroon; Luanda, Angola; Brazzaville, Congo; N'Djamena, Chad
20."
17,warm,"Rangpur, Bangladesh","Dhaka, Bangladesh; Kathmandu, Nepal; New Delhi, India; Kolkata, India; Varanasi, India; Guwahati, India; Yangon, Myanmar; Islamabad, Pakistan; Lahore, Pakistan; Hyderabad, Pakistan; Chennai, India; Jaipur, India; Lucknow, India; Chittagong, Bangladesh; Patna, India; Agra, India; Sylhet, Bangladesh; Colombo, Sri Lanka; Bhubaneswar, India; Kathmandu, Nepal"
18,warm,"Douala, Cameroon","Buea, Cameroon; Lagos, Nigeria; Freetown, Sierra Leone; Libreville, Gabon; Abidjan, Cote d'Ivoire; Accra, Ghana; Conakry, Guinea; Kinshasa, Democratic Republic of Congo; Douala, Cameroon; Yaounde, Cameroon; Luanda, Angola; Lome, Togo; Cotonou, Benin; Brazzaville, Republic of Congo; Maputo, Mozambique; Bamako, Mali; Dakar, Senegal; Monrovia, Liberia; Port Harcourt, Nigeria; Johannesburg, South Africa"
19,warm,"Lahore, Pakistan","Faisalabad, Pakistan; Islamabad, Pakistan; Karachi, Pakistan; Sargodha, Pakistan; Peshawar, Pakistan; Multan, Pakistan; Quetta, Pakistan; Hyderabad, Pakistan; Rawalpindi, Pakistan; Gujranwala, Pakistan; Jhelum, Pakistan; Sialkot, Pakistan; Lucknow, India; New Delhi, India; Jaipur, India; Agra, India; Kathmandu, Nepal; Dhaka, Bangladesh; Yangon, Myanmar; Colombo, Sri Lanka"
20,warm,"Pontianak, Indonesia","Kota Kinabalu, Malaysia; Kuching, Malaysia; Phnom Penh, Cambodia; Vientiane, Laos; Hanoi, Vietnam; Ho Chi Minh City, Vietnam; Yangon, Myanmar; Siem Reap, Cambodia; Bangkok, Thailand; Kuala Lumpur, Malaysia; Manilla, Philippines; Cebu, Philippines; Davao, Philippines; Singapore, Singapore; Denpasar, Bali, Indonesia; Surabaya, Indonesia; Jakarta, Indonesia; Bandar Seri Begawan, Brunei; Malacca, Malaysia; Kota Bharu, Malaysia"
21,warm,"Cotonou, Benin","Abuja, Nigeria ; Accra, Ghana; Lagos, Nigeria; Dakar, Senegal; Abidjan, Ivory Coast; Monrovia, Liberia; Kano, Nigeria; Yaounde, Cameroon; Santa Cruz, Bolivia; Freetown, Sierra Leone; Kigali, Rwanda; Asuncion, Paraguay; Luanda, Angola; Douala, Cameroon; Brazzaville, Congo; Libreville, Gabon; Addis Ababa, Ethiopia; Malabo, Equatorial Guinea; Lome, Togo; Maputo, Mozambique"
22,warm,"Kampala, Uganda","Nairobi, Kenya; Mombasa, Kenya; Kigali, Rwanda; Dar es Salaam, Tanzania; Addis Ababa, Ethiopia; Juba, South Sudan; Accra, Ghana; Dakar, Senegal; Brazzaville, Congo; Abidjan, Cote d'Ivoire; Bangui, Central African Republic; Kinshasa, Democratic Republic of Congo; Yaoundé, Cameroon; Luanda, Angola; Lomé, Togo; Maputo, Mozambique; Niamey, Niger; Bujumbura, Burundi; Libreville, Gabon; Antananarivo, Madagascar"
23,warm,"San Antonio, United States","Houston, USA; Austin, USA; Dallas, USA; El Paso, USA; San Diego, USA; Phoenix, USA; Tucson, USA; Albuquerque, USA; Las Vegas, USA; San Francisco, USA; Los Angeles, USA; San Juan, Puerto Rico; Cabo San Lucas, Mexico; Cancun, Mexico; Acapulco, Mexico; Montego Bay, Jamaica; Nassau, Bahamas; Barbados; San Jose, Costa Rica; Panama City, Panama"
24,warm,"Jakarta, Indonesia","Bangkok, Thailand; Manila, Philippines; Hanoi, Vietnam; Kuala Lumpur, Malaysia; Ho Chi Minh City, Vietnam; Shenzhen, China; Singapore, Singapore; Guangzhou, China; Surabaya, Indonesia; Yangon, Myanmar; Davao City, Philippines; Phnom Penh, Cambodia; Vientiane, Laos; Haikou, China; Medan, Indonesia; Denpasar, Indonesia; Ulaanbaatar, Mongolia; Penang, Malaysia; Kota Kinabalu, Malaysia; Malacca, Malaysia"
25,warm,"Mumbai, India","Chennai, India; Kolkata, India; Colombo, Sri Lanka; Thiruvananthapuram, India; Hyderabad, India; Dubai, United Arab Emirates; Dhaka, Bangladesh; Karachi, Pakistan; Yangon, Myanmar; Muscat, Oman; Kathmandu, Nepal; Beijing, China; Ho Chi Minh City, Vietnam; Jakarta, Indonesia; Kuala Lumpur, Malaysia; Bangkok, Thailand; Manila, Philippines; Guangzhou, China; Hanoi, Vietnam; Shenzhen, China"
26,warm,"Mandalay, Myanmar","Siem Reap, Cambodia; Chiang Mai, Thailand; Luang Prabang, Laos; Kathmandu, Nepal; Yangon, Myanmar; Bangkok, Thailand; Delft, Netherlands; Granada, Spain; Nice, France; Florence, Italy; Vienna, Austria; Barcelona, Spain; Prague, Czech Republic; Rome, Italy; Munich, Germany; Istanbul, Turkey; Edinburgh, Scotland; Amsterdam, Netherlands; San Francisco, California; London, England"
27,warm,"Nouakchott, Mauritania","Monrovia, Liberia; Asmara, Eritrea; Bamako, Mali; Accra, Ghana; Luanda, Angola; Dakar, Senegal; Abidjan, Ivory Coast; Freetown, Sierra Leone; N'Djamena, Chad; Yaounde, Cameroon; Lagos, Nigeria; Lome, Togo; Kinshasa, Democratic Republic of Congo; Bangui, Central African Republic; Brazzaville, Congo; Libreville, Gabon; Marrakech, Morocco; Agadir, Morocco; Nouadhibou, Mauritania; Porto-Novo, Benin"
28,warm,"Port Sudan, Sudan","Hurghada, Egypt; Marsa Alam, Egypt; Aswan, Egypt; Luxor, Egypt; Khartoum, Sudan; Jeddah, Saudi Arabia; Doha, Qatar; Muscat, Oman; Sana'a, Yemen; Aden, Yemen; Djibouti City, Djibouti; Sana'a, Yemen; Mogadishu, Somalia; Nairobi, Kenya; Addis Ababa, Ethiopia; Mogadishu, Somalia; Tripoli, Libya; Benghazi, Libya; Dubai, United Arab Emirates; Abu Dhabi, United Arab Emirates"
29,warm,"Manaus, Brazil","Quito, Ecuador; San José, Costa Rica; Panama City, Panama; Paramaribo, Suriname; Georgetown, Guyana; Santo Domingo, Dominican Republic; Havana, Cuba; Cusco, Peru; San Salvador, El Salvador; La Paz, Bolivia; Medellin, Colombia; Caracas, Venezuela; Belize City, Belize; Bogota, Colombia; Guayaquil, Ecuador; San Juan, Puerto Rico; Lima, Peru; Guatemala City, Guatemala; Acapulco, Mexico; San Pedro Sula, Honduras"
30,warm,"Cairo, Egypt","Marrakesh, Morocco; Amman, Jordan; Sousse, Tunisia; Beirut, Lebanon; Riyadh, Saudi Arabia; Kuwait City, Kuwait; Dubai, United Arab Emirates; Manama, Bahrain; Jerusalem, Israel; Tel Aviv, Israel; Alexandria, Egypt; Luxor, Egypt; Port Said, Egypt; Aswan, Egypt; Istanbul, Turkey; Benghazi, Libya; Algiers, Algeria; Tunis, Tunisia; Muscat, Oman; Jeddah, Saudi Arabia"
31,warm,"Wau, South Sudan","N'Djamena, Chad; Addis Ababa, Ethiopia; Windhoek, Namibia; Lomé, Togo; Khartoum, Sudan; Kano, Nigeria; Kampala, Uganda; Niamey, Niger; Bamako, Mali; Harare, Zimbabwe; Asmara, Eritrea; Abidjan, Ivory Coast; Libreville, Gabon; Mogadishu, Somalia; Accra, Ghana; Yaoundé, Cameroon; Bujumbura, Burundi; Brazzaville, Republic of the Congo; Juba, South Sudan; Dakar, Senegal"
32,warm,"Maputo, Mozambique","Durban, South Africa; Nairobi, Kenya; Harare, Zimbabwe; Windhoek, Namibia; Maseru, Lesotho; Beira, Mozambique; Luanda, Angola; Maputo, Mozambique; Accra, Ghana; Lilongwe, Malawi; Johannesburg, South Africa; Antananarivo, Madagascar; Porto-Novo, Benin; Libreville, Gabon; Yaounde, Cameroon; Kigali, Rwanda; Lusaka, Zambia; Abidjan, Ivory Coast; Kinshasa, DRC; Addis Ababa, Ethiopia"
33,warm,"Mexicali, Mexico","San Diego, California, USA; Tijuana, Mexico; Tucson, Arizona, USA; El Centro, California, USA; Ciudad Juarez, Mexico; Yuma, Arizona, USA; Mexicali, Mexico; La Paz, Mexico; Ensenada, Mexico; Hermosillo, Mexico; San Luis Rio Colorado, Mexico; Guaymas, Mexico; Chihuahua, Mexico; Alamogordo, New Mexico, USA; Las Vegas, Nevada, USA; Phoenix, Arizona, USA; Los Angeles, California, USA; Palm Springs, California, USA; Santa Cruz, California, USA; Rosarito, Mexico"
34,warm,"Upington, South Africa","Bloemfontein, South Africa; Kimberley, South Africa; Nelspruit, South Africa; George, South Africa; Pietermaritzburg, South Africa; Durban, South Africa; Windhoek, Namibia; Gaborone, Botswana; Harare, Zimbabwe; Johannesburg, South Africa; Maputo, Mozambique; Swakopmund, Namibia; Walvis Bay, Namibia; Luanda, Angola; Lusaka, Zambia; Maseru, Lesotho; Thohoyandou, South Africa; Tzaneen, South Africa; Polokwane, South Africa; Musina"
35,warm,"Ndola, Zambia","Johannesburg, South Africa; Harare, Zimbabwe; Lusaka, Zambia; Gaborone, Botswana; Maputo, Mozambique; Windhoek, Namibia; Addis Ababa, Ethiopia; Kigali, Rwanda; Blantyre, Malawi; Durban, South Africa; Maseru, Lesotho; Port Elizabeth, South Africa; Luanda, Angola; Accra, Ghana; Dar es Salaam, Tanzania; Mombasa, Kenya; Abidjan, Ivory Coast; Accra, Togo; Ouagadougou, Burkina Faso; Bamako, Mali"
36,warm,"Manila, Philippines","Palembang, Indonesia; Kuala Lumpur, Malaysia; Hanoi, Vietnam; Bangkok, Thailand; Cebu City, Philippines; Ho Chi Minh City, Vietnam; Guangzhou, China; Singapore, Singapore; Yangon, Myanmar; Surabaya, Indonesia; Jakarta, Indonesia; Muan, South Korea; Pattaya, Thailand; Phnom Penh, Cambodia; Haiphong, Vietnam; Sihanoukville, Cambodia; Bandar Seri Begawan, Brunei; Taipei, Taiwan; Hong Kong, China; Macau, China"
37,warm,"Belize City, Belize","Cancun, Mexico; Havana, Cuba; San Juan, Puerto Rico; Nassau, Bahamas; Montego Bay, Jamaica; Grand Cayman, Cayman Islands; Acapulco, Mexico; Roatan, Honduras; Aruba; San Salvador, El Salvador; Panama City, Panama; Punta Cana, Dominican Republic; San Andres, Colombia; Cozumel, Mexico; St; Thomas, U.S; Virgin Islands; Barbados; Providenciales, Turks and Caicos; St; John, U.S; Virgin Islands; San Jose, Costa Rica; Key West, Florida, USA"
38,warm,"Tampa, United States","Orlando, United States ; Miami, United States ; Clearwater, United States ; Sanibel, United States ; St; Petersburg, United States ; Naples, United States ; Key West, United States ; Fort Myers, United States ; Veracruz, Mexico ; Mazatlán, Mexico ; Cancún, Mexico ; Playa del Carmen, Mexico ; Montego Bay, Jamaica ; Nassau, Bahamas ; Saint Martin, Caribbean ; San Juan, Puerto Rico ; Barbados, Caribbean ; Havana, Cuba ; Belize City, Belize ; San Salvador, El Salvador"
39,cold,"Calgary, Canada","Edmonton, Canada; Vancouver, Canada; Seattle, USA; Portland, USA; Spokane, USA; Boise, USA; Billings, USA; Missoula, USA; Helena, USA; Fargo, USA; Winnipeg, Canada; Salt Lake City, USA; Regina, Canada; Great Falls, USA; Medford, USA; Redding, USA; Duluth, USA; Rapid City, USA; Casper, USA; Sioux Falls, USA"
40,cold,"Halifax, Canada","Reykjavik, Iceland; Belfast, Northern Ireland; Glasgow, Scotland; St; John’s, Newfoundland and Labrador; Montreal, Quebec; Portland, Maine; Quebec City, Quebec; Vancouver, British Columbia; Edinburgh, Scotland; Dublin, Ireland; Seattle, Washington; Aberdeen, Scotland; St; Petersburg, Russia; Oslo, Norway; Stockholm, Sweden; Copenhagen, Denmark; Halifax, Nova Scotia; London, England; Warsaw, Poland; Berlin, Germany"
41,cold,"Ottawa, Canada","Toronto, Canada; Montreal, Canada; Quebec City, Canada; Halifax, Canada; Boston, USA; Portland, USA; Buffalo, USA; Chicago, USA; Minneapolis, USA; St; Louis, USA; Pittsburgh, USA; Philadelphia, USA; Syracuse, USA; Albany, USA; Detroit, USA; Cleveland, USA; London, UK; Edinburgh, UK; Glasgow, UK; Dublin, Ireland"
42,cold,"Saskatoon, Canada","Regina, Canada; Calgary, Canada; Edmonton, Canada; Winnipeg, Canada; Minneapolis, USA; Omaha, USA; Fargo, USA; Des Moines, USA; Kansas City, USA; St; Louis, USA; Helena, USA; Billings, USA; Boise, USA; Spokane, USA; Seattle, USA; Portland, USA; Salt Lake City, USA; Denver, USA; Cheyenne, USA; Rapid City, USA"
43,cold,"Toronto, Canada","Vancouver, Canada; Seattle, USA; Portland, USA; Calgary, Canada; San Francisco, USA; New York City, USA; Boston, USA; Washington DC, USA; Montreal, Canada; Chicago, USA; Philadelphia, USA; Miami, USA; Los Angeles, USA; San Diego, USA; Honolulu, USA; Anchorage, USA; Atlanta, USA; Detroit, USA; St; Louis, USA; Minneapolis, USA"
44,cold,"Anchorage, United States","Reykjavik, Iceland; Fairbanks, Alaska; Ulaanbaatar, Mongolia; Tromso, Norway; Murmansk, Russia; Helsinki, Finland; Yellowknife, Canada; Kangerlussuaq, Greenland; Novosibirsk, Russia; Yakutsk, Russia; Oulu, Finland; Magadan, Russia; Petropavlovsk-Kamchatsky, Russia; Nuuk, Greenland; Iqaluit, Canada; Vladivostok, Russia; Khabarovsk, Russia; Churchill, Canada; Akureyri, Iceland; Longyearbyen, Norway"
45,cold,"Chicago, United States","Seattle, Washington; Minneapolis, Minnesota; Toronto, Canada; Detroit, Michigan; Cleveland, Ohio; Milwaukee, Wisconsin; St; Louis, Missouri; Kansas City, Missouri; Boston, Massachusetts; Pittsburgh, Pennsylvania; Indianapolis, Indiana; Cincinnati, Ohio; Omaha, Nebraska; Madison, Wisconsin; Iowa City, Iowa; Buffalo, New York; Rochester, New York; Providence, Rhode Island; Hartford, Connecticut; Grand Rapids, Michigan"
46,cold,"Fairbanks, United States","Anchorage, United States ; Reykjavik, Iceland ; Tromso, Norway ; Whitehorse, Canada ; Murmansk, Russia ; Yakutsk, Russia ; Yellowknife, Canada ; Rovaniemi, Finland ; Oulu, Finland ; Norilsk, Russia ; Magadan, Russia ; Svalbard, Norway ; Churchill, Canada ; Akureyri, Iceland ; Umea, Sweden ; Kangerlussuaq, Greenland ; Fairbanks, Alaska, United States ; Nome, Alaska, United States ; Anchorage, Alaska, United States ; Bar"
47,cold,"Milwaukee, United States","Minneapolis, Minnesota, USA; Chicago, Illinois, USA; Madison, Wisconsin, USA; Detroit, Michigan, USA; St; Louis, Missouri, USA; Omaha, Nebraska, USA; Cleveland, Ohio, USA; Grand Rapids, Michigan, USA; Kansas City, Missouri, USA; Des Moines, Iowa, USA; Indianapolis, Indiana, USA; Cincinnati, Ohio, USA; Pittsburgh, Pennsylvania, USA; Duluth, Minnesota, USA; Rochester, New York, USA; Green Bay, Wisconsin, USA; Buffalo, New York, USA; Lansing, Michigan, USA; Toledo, Ohio, USA; Waterloo, Iowa, USA"
48,cold,"Minneapolis, United States","Winnipeg, Manitoba, Canada; Madison, Wisconsin, United States; Chicago, Illinois, United States; Omaha, Nebraska, United States; Fargo, North Dakota, United States; St; Paul, Minnesota, United States; Duluth, Minnesota, United States; Rochester, Minnesota, United States; Green Bay, Wisconsin, United States; Kansas City, Missouri, United States; Thunder Bay, Ontario, Canada; Grand Forks, North Dakota, United States; La Crosse, Wisconsin, United States; Des Moines, Iowa, United States; Sioux Falls, South Dakota, United States; Eau Claire, Wisconsin, United States; Rapid City, South Dakota, United States; Milwaukee, Wisconsin, United States"
49,cold,"Río Gallegos, Argentina","Ushuaia, Argentina; Punta Arenas, Chile; El Calafate, Argentina; San Carlos de Bariloche, Argentina; Puerto Montt, Chile; Valdivia, Chile; Coyhaique, Chile; Osorno, Chile; Pucón, Chile; Puerto Varas, Chile; Comodoro Rivadavia, Argentina; Trelew, Argentina; Puerto Natales, Chile; San Juan, Argentina; Comodoro Rivadavia, Argentina; Punta Del Este, Uruguay; Mar del Plata, Argentina; Iquique, Chile; Calama, Chile; La Serena, Chile"
50,cold,"Ushuaia, Argentina","Valdez, Alaska; Kodiak, Alaska; Seward, Alaska; Galveston, Texas; Barrow, Alaska; Reykjavik, Iceland; Tromsø, Norway; Glace Bay, Nova Scotia; Juneau, Alaska; Anchorage, Alaska; Bergen, Norway; Kilkenny, Ireland; Hamilton, New Zealand; Nuuk, Greenland; Vladivostok, Russia; Ketchikan, Alaska; Akureyri, Iceland; Yakutsk, Russia; Whitehorse, Yukon; St; John's, Newfoundland"
51,cold,"La Paz, Bolivia","Quito, Ecuador; Bogota, Colombia; Mexico City, Mexico; San José, Costa Rica; Lima, Peru; Cuzco, Peru; Sucre, Bolivia; Arequipa, Peru; Cochabamba, Bolivia; Guayaquil, Ecuador; Quetzaltenango, Guatemala; Salzburg, Austria; Innsbruck, Austria; Zurich, Switzerland; Geneva, Switzerland; Bergen, Norway; Reykjavik, Iceland; Edinburgh, Scotland; Dublin, Ireland; Belfast, Northern Ireland"
52,cold,"Punta Arenas, Chile","Ushuaia, Argentina; El Calafate, Argentina; Valdivia, Chile; San Carlos de Bariloche, Argentina; Puerto Montt, Chile; Pucón, Chile; Coyhaique, Chile; Castro, Chile; Quellón, Chile; Osorno, Chile; Puerto Natales, Chile; Ushuai, Peru; El Chalten, Argentina; Puerto Varas, Chile; Pichilemu, Chile; Ancud, Chile; Puerto Williams, Chile; Chiloé, Chile; Esquel, Argentina; San Juan de la Costa, Chile"
53,cold,"Minsk, Belarus","Kyiv, Ukraine; Tbilisi, Georgia; Odessa, Ukraine; Saint Petersburg, Russia; Yerevan, Armenia; Vilnius, Lithuania; Krakow, Poland; Riga, Latvia; Tallinn, Estonia; Prague, Czech Republic; Warsaw, Poland; Baku, Azerbaijan; Astana, Kazakhstan; Bratislava, Slovakia; Minsk, Belarus; Istanbul, Turkey; Bucharest, Romania; Lviv, Ukraine; Sofia, Bulgaria; Chisinau, Moldova"
54,cold,"Copenhagen, Denmark","Hamburg, Germany; Amsterdam, Netherlands; Stockholm, Sweden; Oslo, Norway; Berlin, Germany; Gothenburg, Sweden; Paris, France; Brussels, Belgium; Vienna, Austria; Edinburgh, Scotland; Dublin, Ireland; Reykjavík, Iceland; Helsinki, Finland; Prague, Czech Republic; Zürich, Switzerland; Madrid, Spain; Munich, Germany; Rome, Italy; Florence, Italy; Lisbon, Portugal"
55,cold,"Kuopio, Finland","Tampere, Finland; Oulu, Finland; Rovaniemi, Finland; Lappeenranta, Finland; Umeå, Sweden; Stockholm, Sweden; Helsinki, Finland; Jyväskylä, Finland; Turku, Finland; St; Petersburg, Russia; Tallinn, Estonia; Riga, Latvia; Oslo, Norway; Bergen, Norway; Tromsø, Norway; Gothenburg, Sweden; Reykjavik, Iceland; Trondheim, Norway; Amsterdam, Netherlands; Copenhagen, Denmark"
56,cold,"Reykjavík, Iceland","Bergen, Norway; Stockholm, Sweden; Helsinki, Finland; Trondheim, Norway; Tromsø, Norway; Edinburgh, Scotland; Oslo, Norway; Gothenburg, Sweden; Aberdeen, Scotland; Cork, Ireland; Dublin, Ireland; Galway, Ireland; Belfast, Northern Ireland; Anchorage, Alaska, USA; Reykjanesbær, Iceland; Keflavík, Iceland; Nuuk, Greenland; Murmansk, Russia; Rovaniemi, Finland; Tórshavn, Faroe Islands"
